,glacier,region,N_scalar,ice_flux,boundary_flux,proximal_flux,sediment_flux,max_velocity,max_pressure,drainage_area,mean_fringe,med_fringe
20,charcot-gletscher,CE,0.9,0.136207022143,0.0,-0.836155416689,-0.836155416689,512.401785448,3583475.74397,586.5812689,0.0216037848036,0.00830055024874
21,sydbrae,CE,0.9,0.285266681312,0.0,5170846.13921,5170846.13921,694.367287176,2369875.7823,826.307302857,0.0234685269216,0.00121092926802
22,kangiata-nunaata-sermia,SW,0.9,4.55254613726,19810122.4278,59828023.1178,79638145.5457,6003.63445181,6456430.34905,21388.1248376,0.16196041218,0.127872733425
23,eielson-gletsjer,CE,0.9,0.0450033456953,0.0,2539424.5996,2539424.5996,174.031718632,7643549.56171,8423.62502002,0.0696634857795,0.0438352962824
24,narsap-sermia,SW,0.9,3.136940135,3164073.94427,16104973.8886,19269047.8329,2752.47593772,5802721.56981,7490.67270659,0.0767435859825,0.0507566612065
25,kangilernata-sermia,CW,0.9,1.02435457097,47170950.8445,80562535.3389,127733486.183,2505.59679412,8439576.6307,35708.2091983,0.891379947157,0.877764293028
26,dode-brae,CE,0.9,0.102080032083,0.0,0.208514467576,0.208514467576,139.439525061,3407478.16183,1016.36984175,0.0539658719911,0.0382215749591
27,daugaard-jensen-gletsjer,CE,0.9,9.60515777231,29892348.272,169730510.122,199622858.394,1438.48304808,8186978.00131,48811.736759,0.717843092905,0.702903284159
28,vestfjord-gletsjer,CE,0.9,2.39614215823,9817977.83219,20215386.2955,30033364.1277,1088.45613447,7214815.52554,10973.1700192,0.0518422985043,0.0177646017156
29,sermeq-kullajeq,CW,0.9,7.39960691026,11575041.0578,43065197.6713,54640238.7292,4781.61904709,6486544.657,6809.20178937,0.588684115647,0.567569649869
30,bredegletsjer,CE,0.9,0.814427067648,0.0,2323.04322608,2323.04322608,1371.40373128,1963023.25815,1093.79653359,0.033151317688,0.0010749778233
31,magga-dan-gletsjer,CE,0.9,2.22887982099,35596714.2197,85519557.6977,121116271.917,3451.88422983,4685050.15706,3455.91472526,0.0697313485909,0.0123897234983
32,graah-gletscher,CE,0.9,1.07207330861,0.0,3128803.90611,3128803.90611,1556.06685632,3895329.05317,976.59708075,0.0323089590306,0.00546924706106
33,akullersuup-sermia,SW,0.9,0.443064236251,25221614.1547,94520768.8374,119742382.992,1146.47950324,4357521.12074,1602.92521217,0.136406947307,0.0749202644398
